power;
11,74;
11,75;
11,74;
11,75;
11,74;
11,75;
11,74;
11,76;
11,73;
11,76;
11,75;
11,75;
11,73;
11,75;
11,73;
11,73;
11,74;
11,72;
11,74;
11,73;
11,75;
11,73;
11,73;
11,73;
11,74;
11,74;
11,76;
11,74;
11,74;
11,73;
11,75;
11,73;
11,75;
11,73;
11,73;
11,74;
11,75;
11,74;
11,75;
11,73;
13,17;
11,74;
11,73;
11,74;
11,78;
11,72;
11,73;
11,77;
11,74;
11,74;
11,79;
11,74;
11,73;
11,76;
11,74;
11,73;
11,77;
11,74;
11,74;
11,79;
11,74;
11,74;
11,77;
11,73;
11,75;
11,78;
11,74;
11,74;
11,78;
11,73;
11,75;
11,77;
11,73;
11,73;
11,76;
11,73;
11,73;
11,77;
11,74;
11,73;
11,77;
11,74;
11,74;
11,77;
11,75;
11,74;
11,8;
11,74;
11,76;
11,78;
11,77;
11,74;
11,81;
11,75;
11,75;
11,79;
11,78;
11,73;
11,81;
11,76;
13,26;
11,8;
11,77;
11,76;
11,81;
11,76;
11,76;
11,8;
11,78;
11,74;
11,82;
11,77;
11,76;
11,8;
11,78;
11,73;
11,79;
11,76;
11,76;
11,8;
