power;
10,94;
11,06;
10,97;
10,99;
10,99;
11,0;
10,94;
11,04;
10,99;
11,01;
11,05;
11,01;
10,95;
11,0;
10,96;
10,94;
10,99;
10,96;
10,93;
10,99;
10,98;
10,95;
10,99;
10,97;
10,94;
10,99;
10,98;
10,95;
11,03;
10,96;
11,0;
11,01;
10,99;
10,95;
11,0;
10,96;
11,0;
10,97;
11,02;
10,94;
10,99;
10,98;
10,99;
10,94;
11,01;
10,94;
11,0;
10,96;
10,96;
10,98;
12,51;
10,93;
10,94;
10,98;
10,94;
10,95;
10,96;
10,96;
10,96;
10,96;
10,95;
10,99;
10,97;
10,98;
10,96;
11,01;
10,95;
11,01;
10,95;
10,99;
10,95;
11,01;
10,93;
11,02;
10,99;
11,0;
11,0;
11,02;
10,96;
11,01;
10,99;
10,99;
11,0;
10,99;
10,97;
10,98;
11,0;
10,94;
10,98;
10,96;
10,96;
10,97;
10,97;
10,95;
10,97;
11,0;
10,97;
10,96;
11,07;
10,94;
11,01;
11,01;
11,0;
10,95;
11,06;
10,94;
11,01;
10,99;
11,0;
10,95;
11,06;
11,01;
11,03;
10,97;
11,0;
10,96;
11,04;
10,95;
10,99;
10,99;
10,96;
