power;
9,04;
8,96;
8,97;
8,95;
8,96;
8,96;
8,97;
8,98;
8,99;
8,96;
8,99;
8,98;
9,0;
9,04;
9,04;
9,05;
9,07;
9,03;
9,01;
8,96;
8,98;
8,98;
8,97;
9,0;
9,0;
8,97;
8,99;
8,99;
8,96;
8,96;
9,0;
8,98;
8,96;
9,01;
8,97;
8,95;
9,0;
8,98;
8,97;
8,99;
8,97;
8,97;
9,0;
8,98;
8,98;
9,0;
8,98;
8,99;
10,22;
8,98;
8,98;
9,01;
8,98;
9,0;
9,0;
8,98;
9,01;
9,0;
8,97;
8,98;
9,01;
8,95;
8,97;
9,0;
8,97;
8,97;
9,0;
8,95;
8,99;
8,99;
8,95;
8,97;
9,02;
8,97;
8,98;
8,98;
8,97;
8,98;
8,99;
8,97;
8,98;
9,01;
8,97;
8,96;
8,98;
8,96;
8,97;
9,01;
8,95;
8,96;
9,02;
8,97;
8,96;
8,97;
8,97;
8,98;
9,0;
8,98;
8,96;
9,0;
8,98;
8,98;
9,0;
8,97;
8,98;
8,99;
8,98;
8,98;
9,59;
8,99;
8,97;
9,02;
8,96;
8,97;
8,99;
8,98;
8,96;
9,01;
8,96;
8,97;
8,99;
