power;
9,08;
9,12;
9,06;
9,19;
9,11;
9,12;
9,62;
9,1;
9,27;
9,56;
9,1;
9,17;
10,5;
9,98;
9,08;
9,29;
9,09;
9,08;
9,14;
9,09;
9,37;
9,11;
9,32;
9,1;
9,99;
9,49;
9,08;
9,1;
9,13;
9,11;
9,71;
10,43;
9,23;
9,42;
9,11;
9,44;
9,12;
9,14;
9,16;
9,15;
9,61;
9,13;
9,18;
9,38;
10,39;
9,42;
9,09;
9,09;
9,14;
9,09;
9,1;
9,12;
9,11;
9,83;
9,18;
9,88;
10,09;
10,3;
9,21;
10,91;
10,47;
9,71;
9,21;
9,17;
9,18;
9,62;
9,23;
10,42;
9,18;
9,18;
9,95;
9,21;
9,15;
9,44;
9,13;
9,1;
9,11;
9,14;
10,94;
9,11;
9,13;
9,55;
10,06;
9,16;
9,12;
9,12;
9,18;
9,14;
10,61;
9,53;
9,14;
9,13;
9,09;
9,1;
9,46;
9,09;
9,1;
9,08;
9,1;
9,1;
9,46;
9,25;
9,1;
9,22;
9,13;
9,1;
9,13;
9,11;
9,09;
9,1;
9,09;
9,11;
9,11;
9,11;
9,07;
9,1;
9,13;
9,1;
9,13;
11,59;
9,78;
