power;
11,84;
11,9;
11,93;
11,87;
11,87;
11,89;
12,28;
11,86;
11,91;
11,87;
12,09;
11,95;
11,92;
11,93;
11,98;
11,92;
11,95;
11,94;
11,94;
12,08;
12,0;
11,97;
11,97;
12,0;
11,99;
11,95;
12,0;
11,92;
11,9;
11,92;
11,88;
11,89;
12,01;
11,92;
11,86;
11,88;
11,86;
11,9;
11,89;
11,85;
11,83;
11,92;
11,84;
11,82;
11,9;
11,86;
11,86;
11,99;
11,85;
11,87;
11,95;
11,84;
11,85;
12,55;
11,84;
11,86;
11,9;
11,99;
11,86;
11,89;
11,85;
11,99;
11,89;
11,84;
11,85;
11,9;
11,87;
11,87;
11,91;
11,93;
11,88;
11,93;
11,87;
12,17;
11,91;
11,87;
11,83;
11,9;
11,9;
11,9;
11,96;
12,28;
11,9;
11,93;
11,89;
11,89;
11,92;
12,37;
11,9;
11,94;
11,91;
11,92;
11,91;
11,91;
11,84;
11,84;
12,27;
12,08;
11,84;
11,83;
13,12;
12,46;
11,84;
11,85;
12,11;
11,87;
11,89;
11,88;
12,11;
11,9;
11,85;
11,86;
11,87;
11,88;
11,85;
11,88;
11,86;
11,86;
11,85;
11,85;
11,83;
