power;
17,84;
17,83;
17,83;
17,9;
18,16;
17,98;
17,34;
18,15;
18,08;
17,92;
18,17;
18,09;
17,91;
18,15;
18,05;
17,91;
17,34;
18,06;
17,92;
18,14;
18,04;
17,91;
18,14;
18,05;
17,91;
18,13;
16,51;
17,93;
18,54;
16,29;
16,24;
16,29;
16,2;
16,09;
16,3;
16,19;
14,3;
16,27;
16,19;
16,08;
16,27;
16,16;
16,08;
16,28;
16,16;
16,08;
14,58;
16,15;
16,1;
16,28;
16,18;
16,09;
16,28;
16,16;
16,1;
16,28;
13,63;
16,13;
16,28;
16,17;
16,13;
16,34;
16,19;
16,0;
16,01;
16,02;
13,61;
16,32;
16,19;
16,19;
16,33;
16,2;
16,16;
16,34;
16,19;
16,16;
14,1;
16,16;
16,15;
16,3;
16,15;
16,14;
16,32;
15,99;
16,17;
16,28;
14,07;
16,13;
16,27;
16,15;
16,12;
16,08;
16,16;
16,15;
16,28;
16,14;
13,86;
16,28;
16,13;
15,73;
16,28;
15,89;
16,0;
15,99;
15,94;
16,16;
14,1;
16,14;
16,15;
16,28;
16,14;
16,15;
16,3;
16,13;
16,17;
16,31;
14,16;
16,15;
16,3;
16,13;
16,18;
